"Date","Violations","Statistics","Value"
2019,"Total drug violations [401]","Total, youth charged",1151
2010,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",254.82
2011,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",263.39
2012,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",240.4
2013,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",228.82
2014,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",198.21
2015,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",158.79
2016,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",134.6
2017,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",116.59
2018,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",87.23
2019,"Total drug violations [401]","Rate, youth charged per 100,000 population aged 12 to 17 years",47.85
2010,"Total drug violations [401]","Total, youth not charged",12863
2011,"Total drug violations [401]","Total, youth not charged",13782
2012,"Total drug violations [401]","Total, youth not charged",12824
2013,"Total drug violations [401]","Total, youth not charged",12488
2014,"Total drug violations [401]","Total, youth not charged",10932
2015,"Total drug violations [401]","Total, youth not charged",9124
2016,"Total drug violations [401]","Total, youth not charged",7998
2017,"Total drug violations [401]","Total, youth not charged",7567
2018,"Total drug violations [401]","Total, youth not charged",5334
2019,"Total drug violations [401]","Total, youth not charged",1021
2010,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",508.58
2011,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",553.95
2012,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",525.47
2013,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",521.91
2014,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",463.2
2015,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",388.1
2016,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",338.1
2017,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",319.41
2018,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",224.24
2019,"Total drug violations [401]","Rate, youth not charged per 100,000 population aged 12 to 17 years",42.44
2010,"Youth Criminal Justice Act [6450]","Actual incidents",11957
2011,"Youth Criminal Justice Act [6450]","Actual incidents",11785
2012,"Youth Criminal Justice Act [6450]","Actual incidents",12721
2013,"Youth Criminal Justice Act [6450]","Actual incidents",9428
2014,"Youth Criminal Justice Act [6450]","Actual incidents",8045
2015,"Youth Criminal Justice Act [6450]","Actual incidents",7063
2016,"Youth Criminal Justice Act [6450]","Actual incidents",6148
2017,"Youth Criminal Justice Act [6450]","Actual incidents",5497
2018,"Youth Criminal Justice Act [6450]","Actual incidents",4765
2019,"Youth Criminal Justice Act [6450]","Actual incidents",3815
2010,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",35.16
2011,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",34.32
2012,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",36.64
2013,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",26.87
2014,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",22.7
2015,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",19.78
2016,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",17.03
2017,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",15.04
2018,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",12.86
2019,"Youth Criminal Justice Act [6450]","Rate per 100,000 population",10.15
2010,"Youth Criminal Justice Act [6450]","Percentage change in rate",-5.11
2011,"Youth Criminal Justice Act [6450]","Percentage change in rate",-2.4
2012,"Youth Criminal Justice Act [6450]","Percentage change in rate",6.78
2013,"Youth Criminal Justice Act [6450]","Percentage change in rate",-26.67
2014,"Youth Criminal Justice Act [6450]","Percentage change in rate",-15.52
2015,"Youth Criminal Justice Act [6450]","Percentage change in rate",-12.86
2016,"Youth Criminal Justice Act [6450]","Percentage change in rate",-13.93
2017,"Youth Criminal Justice Act [6450]","Percentage change in rate",-11.65
2018,"Youth Criminal Justice Act [6450]","Percentage change in rate",-14.52
2019,"Youth Criminal Justice Act [6450]","Percentage change in rate",-21.07
2010,"Youth Criminal Justice Act [6450]","Total cleared",11099
2011,"Youth Criminal Justice Act [6450]","Total cleared",11089
2012,"Youth Criminal Justice Act [6450]","Total cleared",11748
2013,"Youth Criminal Justice Act [6450]","Total cleared",8838
2014,"Youth Criminal Justice Act [6450]","Total cleared",6631
2015,"Youth Criminal Justice Act [6450]","Total cleared",6272
2016,"Youth Criminal Justice Act [6450]","Total cleared",5437
2017,"Youth Criminal Justice Act [6450]","Total cleared",4773
2018,"Youth Criminal Justice Act [6450]","Total cleared",4373
2019,"Youth Criminal Justice Act [6450]","Total cleared",3509
2010,"Youth Criminal Justice Act [6450]","Total, persons charged",8660
2011,"Youth Criminal Justice Act [6450]","Total, persons charged",8486
2012,"Youth Criminal Justice Act [6450]","Total, persons charged",8475
2013,"Youth Criminal Justice Act [6450]","Total, persons charged",6622
2014,"Youth Criminal Justice Act [6450]","Total, persons charged",5284
2015,"Youth Criminal Justice Act [6450]","Total, persons charged",5021
2016,"Youth Criminal Justice Act [6450]","Total, persons charged",4327
2017,"Youth Criminal Justice Act [6450]","Total, persons charged",3731
2018,"Youth Criminal Justice Act [6450]","Total, persons charged",3513
2019,"Youth Criminal Justice Act [6450]","Total, persons charged",3038
2010,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",29.27
2011,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",28.39
2012,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",28.05
2013,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",21.69
2014,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",17.14
2015,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",16.17
2016,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",13.78
2017,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",11.74
2018,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",10.89
2019,"Youth Criminal Justice Act [6450]","Rate, total persons charged per 100,000 population aged 12 years and over",9.27
2010,"Youth Criminal Justice Act [6450]","Total, adult charged",2710
2011,"Youth Criminal Justice Act [6450]","Total, adult charged",2999
2012,"Youth Criminal Justice Act [6450]","Total, adult charged",3218
2013,"Youth Criminal Justice Act [6450]","Total, adult charged",2251
2014,"Youth Criminal Justice Act [6450]","Total, adult charged",1464
2015,"Youth Criminal Justice Act [6450]","Total, adult charged",1541
2016,"Youth Criminal Justice Act [6450]","Total, adult charged",1390
2017,"Youth Criminal Justice Act [6450]","Total, adult charged",1121
2018,"Youth Criminal Justice Act [6450]","Total, adult charged",1357
2019,"Youth Criminal Justice Act [6450]","Total, adult charged",1339
2010,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",10.01
2011,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",10.95
2012,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",11.59
2013,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",8
2014,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",5.14
2015,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",5.37
2016,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",4.79
2017,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",3.81
2018,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",4.54
2019,"Youth Criminal Justice Act [6450]","Rate, adult charged per 100,000 population aged 18 years and over",4.41
2010,"Youth Criminal Justice Act [6450]","Total, youth charged",5950
2011,"Youth Criminal Justice Act [6450]","Total, youth charged",5487
2012,"Youth Criminal Justice Act [6450]","Total, youth charged",5257
2013,"Youth Criminal Justice Act [6450]","Total, youth charged",4371
2014,"Youth Criminal Justice Act [6450]","Total, youth charged",3820
2015,"Youth Criminal Justice Act [6450]","Total, youth charged",3480
2016,"Youth Criminal Justice Act [6450]","Total, youth charged",2937
2017,"Youth Criminal Justice Act [6450]","Total, youth charged",2610
2018,"Youth Criminal Justice Act [6450]","Total, youth charged",2156
2019,"Youth Criminal Justice Act [6450]","Total, youth charged",1699
2010,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",235.25
2011,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",220.54
2012,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",215.41
2013,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",182.68
2014,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",161.86
2015,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",148.03
2016,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",124.15
2017,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",110.17
2018,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",90.64
2019,"Youth Criminal Justice Act [6450]","Rate, youth charged per 100,000 population aged 12 to 17 years",70.63
2010,"Youth Criminal Justice Act [6450]","Total, youth not charged",1188
2011,"Youth Criminal Justice Act [6450]","Total, youth not charged",1184
2012,"Youth Criminal Justice Act [6450]","Total, youth not charged",1067
2013,"Youth Criminal Justice Act [6450]","Total, youth not charged",754
2014,"Youth Criminal Justice Act [6450]","Total, youth not charged",601
2015,"Youth Criminal Justice Act [6450]","Total, youth not charged",570
2016,"Youth Criminal Justice Act [6450]","Total, youth not charged",473
2017,"Youth Criminal Justice Act [6450]","Total, youth not charged",454
2018,"Youth Criminal Justice Act [6450]","Total, youth not charged",388
2019,"Youth Criminal Justice Act [6450]","Total, youth not charged",290
2010,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",46.97
2011,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",47.59
2012,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",43.72
2013,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",31.51
2014,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",25.47
2015,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",24.25
2016,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",19.99
2017,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",19.16
2018,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",16.31
2019,"Youth Criminal Justice Act [6450]","Rate, youth not charged per 100,000 population aged 12 to 17 years",12.05
2010,"Total other Federal Statutes [610]","Actual incidents",20767
2011,"Total other Federal Statutes [610]","Actual incidents",20468
2012,"Total other Federal Statutes [610]","Actual incidents",23222
2013,"Total other Federal Statutes [610]","Actual incidents",18218
2014,"Total other Federal Statutes [610]","Actual incidents",17317
2015,"Total other Federal Statutes [610]","Actual incidents",18076
2016,"Total other Federal Statutes [610]","Actual incidents",21496
2017,"Total other Federal Statutes [610]","Actual incidents",25265
2018,"Total other Federal Statutes [610]","Actual incidents",21418
2019,"Total other Federal Statutes [610]","Actual incidents",19781
2010,"Total other Federal Statutes [610]","Rate per 100,000 population",61.07
2011,"Total other Federal Statutes [610]","Rate per 100,000 population",59.61
2012,"Total other Federal Statutes [610]","Rate per 100,000 population",66.89
2013,"Total other Federal Statutes [610]","Rate per 100,000 population",51.93
2014,"Total other Federal Statutes [610]","Rate per 100,000 population",48.87
2015,"Total other Federal Statutes [610]","Rate per 100,000 population",50.63
2016,"Total other Federal Statutes [610]","Rate per 100,000 population",59.53
2017,"Total other Federal Statutes [610]","Rate per 100,000 population",69.14
2018,"Total other Federal Statutes [610]","Rate per 100,000 population",57.8
2019,"Total other Federal Statutes [610]","Rate per 100,000 population",52.62
2010,"Total other Federal Statutes [610]","Percentage change in rate",6.52
2011,"Total other Federal Statutes [610]","Percentage change in rate",-2.4
2012,"Total other Federal Statutes [610]","Percentage change in rate",12.23
2013,"Total other Federal Statutes [610]","Percentage change in rate",-22.37
2014,"Total other Federal Statutes [610]","Percentage change in rate",-5.9
2015,"Total other Federal Statutes [610]","Percentage change in rate",3.61
2016,"Total other Federal Statutes [610]","Percentage change in rate",17.58
2017,"Total other Federal Statutes [610]","Percentage change in rate",16.14
2018,"Total other Federal Statutes [610]","Percentage change in rate",-16.4
2019,"Total other Federal Statutes [610]","Percentage change in rate",-8.95
2010,"Total other Federal Statutes [610]","Total cleared",12523
2011,"Total other Federal Statutes [610]","Total cleared",14250
2012,"Total other Federal Statutes [610]","Total cleared",16230
2013,"Total other Federal Statutes [610]","Total cleared",11796
2014,"Total other Federal Statutes [610]","Total cleared",8691
2015,"Total other Federal Statutes [610]","Total cleared",10585
2016,"Total other Federal Statutes [610]","Total cleared",13273
2017,"Total other Federal Statutes [610]","Total cleared",17884
2018,"Total other Federal Statutes [610]","Total cleared",17012
2019,"Total other Federal Statutes [610]","Total cleared",16787
2010,"Total other Federal Statutes [610]","Total, persons charged",6684
2011,"Total other Federal Statutes [610]","Total, persons charged",7074
2012,"Total other Federal Statutes [610]","Total, persons charged",7461
2013,"Total other Federal Statutes [610]","Total, persons charged",5260
2014,"Total other Federal Statutes [610]","Total, persons charged",3789
2015,"Total other Federal Statutes [610]","Total, persons charged",4652
2016,"Total other Federal Statutes [610]","Total, persons charged",5365
2017,"Total other Federal Statutes [610]","Total, persons charged",3672
2018,"Total other Federal Statutes [610]","Total, persons charged",4039
2019,"Total other Federal Statutes [610]","Total, persons charged",4277
2010,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",22.59
2011,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",23.67
2012,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",24.69
2013,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",17.23
2014,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",12.29
2015,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",14.98
2016,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",17.09
2017,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",11.55
2018,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",12.52
2019,"Total other Federal Statutes [610]","Rate, total persons charged per 100,000 population aged 12 years and over",13.05
2010,"Total other Federal Statutes [610]","Total, adult charged",5900
2011,"Total other Federal Statutes [610]","Total, adult charged",6314
2012,"Total other Federal Statutes [610]","Total, adult charged",6963
2013,"Total other Federal Statutes [610]","Total, adult charged",5024
2014,"Total other Federal Statutes [610]","Total, adult charged",3646
2015,"Total other Federal Statutes [610]","Total, adult charged",4421
2016,"Total other Federal Statutes [610]","Total, adult charged",5095
2017,"Total other Federal Statutes [610]","Total, adult charged",3521
2018,"Total other Federal Statutes [610]","Total, adult charged",3909
2019,"Total other Federal Statutes [610]","Total, adult charged",4154
2010,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",21.8
2011,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",23.04
2012,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",25.07
2013,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",17.86
2014,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",12.81
2015,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",15.41
2016,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",17.55
2017,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",11.97
2018,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",13.08
2019,"Total other Federal Statutes [610]","Rate, adult charged per 100,000 population aged 18 years and over",13.68
2010,"Total other Federal Statutes [610]","Total, youth charged",784
2011,"Total other Federal Statutes [610]","Total, youth charged",760
2012,"Total other Federal Statutes [610]","Total, youth charged",498
2013,"Total other Federal Statutes [610]","Total, youth charged",236
2014,"Total other Federal Statutes [610]","Total, youth charged",143
2015,"Total other Federal Statutes [610]","Total, youth charged",231
2016,"Total other Federal Statutes [610]","Total, youth charged",270
2017,"Total other Federal Statutes [610]","Total, youth charged",151
2018,"Total other Federal Statutes [610]","Total, youth charged",130
2019,"Total other Federal Statutes [610]","Total, youth charged",123
2010,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",31
2011,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",30.55
2012,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",20.41
2013,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",9.86
2014,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",6.06
2015,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",9.83
2016,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",11.41
2017,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",6.37
2018,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",5.47
2019,"Total other Federal Statutes [610]","Rate, youth charged per 100,000 population aged 12 to 17 years",5.11
2010,"Total other Federal Statutes [610]","Total, youth not charged",1077
2011,"Total other Federal Statutes [610]","Total, youth not charged",1028
2012,"Total other Federal Statutes [610]","Total, youth not charged",1104
2013,"Total other Federal Statutes [610]","Total, youth not charged",585
2014,"Total other Federal Statutes [610]","Total, youth not charged",297
2015,"Total other Federal Statutes [610]","Total, youth not charged",472
2016,"Total other Federal Statutes [610]","Total, youth not charged",564
2017,"Total other Federal Statutes [610]","Total, youth not charged",1360
2018,"Total other Federal Statutes [610]","Total, youth not charged",1804
2019,"Total other Federal Statutes [610]","Total, youth not charged",1369
2010,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",42.58
2011,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",41.32
2012,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",45.24
2013,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",24.45
2014,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",12.58
2015,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",20.08
2016,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",23.84
2017,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",57.41
2018,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",75.84
2019,"Total other Federal Statutes [610]","Rate, youth not charged per 100,000 population aged 12 to 17 years",56.91
